person,personLabel,birthDate,birthYear,deathDate,deathYear,citizenshipLabel,productive_year,modern_country
http://www.wikidata.org/entity/Q557,Patti Smith,1946-12-30 00:00:00+00:00,1946.0,,,United States,1981.0,United States
http://www.wikidata.org/entity/Q4715,Moncef Marzouki,1945-07-07 00:00:00+00:00,1945.0,,,Tunisia,1980.0,Tunisia
http://www.wikidata.org/entity/Q4715,Moncef Marzouki,1945-07-07 00:00:00+00:00,1945.0,,,French protectorate of Tunisia,1980.0,Tunisia
http://www.wikidata.org/entity/Q9049,Noam Chomsky,1928-12-07 00:00:00+00:00,1928.0,,,United States,1963.0,United States
http://www.wikidata.org/entity/Q18947,Laurie Holden,1969-12-17 00:00:00+00:00,1969.0,,,Canada,2004.0,Canada
http://www.wikidata.org/entity/Q18947,Laurie Holden,1969-12-17 00:00:00+00:00,1969.0,,,United States,2004.0,United States
http://www.wikidata.org/entity/Q27077,Li Heping,1970-10-26 00:00:00+00:00,1970.0,,,People's Republic of China,2005.0,China
http://www.wikidata.org/entity/Q32732,Malala Yousafzai,1997-07-12 00:00:00+00:00,1997.0,,,Pakistan,2032.0,Pakistan
http://www.wikidata.org/entity/Q36740,Aung San Suu Kyi,1945-06-19 00:00:00+00:00,1945.0,,,Myanmar,1980.0,Myanmar
http://www.wikidata.org/entity/Q48410,Richard Gere,1949-08-31 00:00:00+00:00,1949.0,,,United States,1984.0,United States
http://www.wikidata.org/entity/Q55994,Mike Farrell,1939-02-06 00:00:00+00:00,1939.0,,,United States,1974.0,United States
http://www.wikidata.org/entity/Q62173,Sabine Leutheusser-Schnarrenberger,1951-07-26 00:00:00+00:00,1951.0,,,Germany,1986.0,Germany
http://www.wikidata.org/entity/Q64075,Shin Dong-hyuk,1982-11-19 00:00:00+00:00,1982.0,,,North Korea,2017.0,North Korea
http://www.wikidata.org/entity/Q64075,Shin Dong-hyuk,1982-11-19 00:00:00+00:00,1982.0,,,South Korea,2017.0,South Korea
http://www.wikidata.org/entity/Q74348,Hubertus Knabe,1959-07-19 00:00:00+00:00,1959.0,,,Germany,1994.0,Germany
http://www.wikidata.org/entity/Q80168,Hilal Mammadov,1959-08-28 00:00:00+00:00,1959.0,,,Azerbaijan,1994.0,Azerbaijan
http://www.wikidata.org/entity/Q80168,Hilal Mammadov,1959-08-28 00:00:00+00:00,1959.0,,,Soviet Union,1994.0,Russia
http://www.wikidata.org/entity/Q82398,Haitham al-Maleh,1931-08-15 00:00:00+00:00,1931.0,,,Syria,1966.0,Syria
http://www.wikidata.org/entity/Q83740,Steve Biddulph,1953-08-15 00:00:00+00:00,1953.0,,,United Kingdom,1988.0,United Kingdom
http://www.wikidata.org/entity/Q83740,Steve Biddulph,1953-08-15 00:00:00+00:00,1953.0,,,Australia,1988.0,Australia
http://www.wikidata.org/entity/Q84917,Christian Michelides,1957-07-19 00:00:00+00:00,1957.0,,,Austria,1992.0,Austria
http://www.wikidata.org/entity/Q88220,Terezija Stoisits,1958-11-14 00:00:00+00:00,1958.0,,,Austria,1993.0,Austria
http://www.wikidata.org/entity/Q98403,Siegfried Reiprich,1955-02-15 00:00:00+00:00,1955.0,,,Germany,1990.0,Germany
http://www.wikidata.org/entity/Q98403,Siegfried Reiprich,1955-02-15 00:00:00+00:00,1955.0,,,German Democratic Republic,1990.0,Germany
http://www.wikidata.org/entity/Q102870,Harriet Tubman,1822-03-06 00:00:00+00:00,1822.0,,,United States,1857.0,United States
http://www.wikidata.org/entity/Q104622,Tawakkol Karman,1979-02-07 00:00:00+00:00,1979.0,,,Yemen,2014.0,Yemen
http://www.wikidata.org/entity/Q113781,Mina Ahadi,1956-01-01 00:00:00+00:00,1956.0,,,Austria,1991.0,Austria
http://www.wikidata.org/entity/Q113781,Mina Ahadi,1956-01-01 00:00:00+00:00,1956.0,,,Iran,1991.0,Iran
http://www.wikidata.org/entity/Q118263,Ales Bialiatski,1962-09-25 00:00:00+00:00,1962.0,,,Belarus,1997.0,Belarus
http://www.wikidata.org/entity/Q118263,Ales Bialiatski,1962-09-25 00:00:00+00:00,1962.0,,,Soviet Union,1997.0,Russia
http://www.wikidata.org/entity/Q127304,Salima Ghezali,1958-01-01 00:00:00+00:00,1958.0,,,Algeria,1993.0,Algeria
http://www.wikidata.org/entity/Q131152,Shirin Ebadi,1947-06-21 00:00:00+00:00,1947.0,,,Iran,1982.0,Iran
http://www.wikidata.org/entity/Q989,John Paul II,1920-05-18 00:00:00+00:00,1920.0,2005-04-02 00:00:00+00:00,2005.0,Poland,1955.0,Poland
http://www.wikidata.org/entity/Q997,Andrei Sakharov,1921-05-21 00:00:00+00:00,1921.0,1989-12-14 00:00:00+00:00,1989.0,Soviet Union,1956.0,Russia
http://www.wikidata.org/entity/Q997,Andrei Sakharov,1921-05-21 00:00:00+00:00,1921.0,1989-12-14 00:00:00+00:00,1989.0,Russian Socialist Federative Soviet Republic,1956.0,Russia
http://www.wikidata.org/entity/Q1480,Corazon Aquino,1933-01-25 00:00:00+00:00,1933.0,2009-08-01 00:00:00+00:00,2009.0,Philippines,1968.0,Philippines
http://www.wikidata.org/entity/Q8027,Martin Luther King Jr.,1929-01-15 00:00:00+00:00,1929.0,1968-04-04 00:00:00+00:00,1968.0,United States,1964.0,United States
http://www.wikidata.org/entity/Q13021,Vinoba Bhave,1895-09-11 00:00:00+00:00,1895.0,1982-11-15 00:00:00+00:00,1982.0,India,1930.0,India
http://www.wikidata.org/entity/Q13021,Vinoba Bhave,1895-09-11 00:00:00+00:00,1895.0,1982-11-15 00:00:00+00:00,1982.0,British Raj,1930.0,India
http://www.wikidata.org/entity/Q17141,Harvey Milk,1930-05-22 00:00:00+00:00,1930.0,1978-11-27 00:00:00+00:00,1978.0,United States,1965.0,United States
http://www.wikidata.org/entity/Q19526,Maya Angelou,1928-04-04 00:00:00+00:00,1928.0,2014-05-28 00:00:00+00:00,2014.0,United States,1963.0,United States
http://www.wikidata.org/entity/Q23685,Jimmy Carter,1924-10-01 00:00:00+00:00,1924.0,2024-12-29 00:00:00+00:00,2024.0,United States,1959.0,United States
http://www.wikidata.org/entity/Q25649,Saul Alinsky,1909-01-30 00:00:00+00:00,1909.0,1972-06-12 00:00:00+00:00,1972.0,United States,1944.0,United States
http://www.wikidata.org/entity/Q29365,Mutsuko Miki,1917-07-31 00:00:00+00:00,1917.0,2012-07-31 00:00:00+00:00,2012.0,Japan,1952.0,Japan
http://www.wikidata.org/entity/Q36233,Václav Havel,1936-10-05 00:00:00+00:00,1936.0,2011-12-18 00:00:00+00:00,2011.0,Czech Republic,1971.0,Czech Republic
http://www.wikidata.org/entity/Q36233,Václav Havel,1936-10-05 00:00:00+00:00,1936.0,2011-12-18 00:00:00+00:00,2011.0,Czechoslovakia,1971.0,Czech Republic
http://www.wikidata.org/entity/Q41166,Jonathan Swift,,1667.0,1745-10-19 00:00:00+00:00,1745.0,Kingdom of Ireland,1702.0,Ireland
http://www.wikidata.org/entity/Q41617,Liu Xiaobo,1955-12-28 00:00:00+00:00,1955.0,2017-07-13 00:00:00+00:00,2017.0,People's Republic of China,1990.0,China
http://www.wikidata.org/entity/Q41921,Rosa Parks,1913-02-04 00:00:00+00:00,1913.0,2005-10-24 00:00:00+00:00,2005.0,United States,1948.0,United States
http://www.wikidata.org/entity/Q43033,Desmond Tutu,1931-10-07 00:00:00+00:00,1931.0,2021-12-26 00:00:00+00:00,2021.0,South Africa,1966.0,South Africa
http://www.wikidata.org/entity/Q43303,Malcolm X,1925-05-19 00:00:00+00:00,1925.0,1965-02-21 00:00:00+00:00,1965.0,United States,1960.0,United States
http://www.wikidata.org/entity/Q43776,Willi Resetarits,1948-12-21 00:00:00+00:00,1948.0,2022-04-24 00:00:00+00:00,2022.0,Austria,1983.0,Austria
http://www.wikidata.org/entity/Q45380,John Lewis,1940-02-21 00:00:00+00:00,1940.0,2020-07-17 00:00:00+00:00,2020.0,United States,1975.0,United States
http://www.wikidata.org/entity/Q48779,Ukshin Hoti,1943-06-17 00:00:00+00:00,1943.0,1999-01-01 00:00:00+00:00,1999.0,Serbia,1978.0,Serbia
http://www.wikidata.org/entity/Q48779,Ukshin Hoti,1943-06-17 00:00:00+00:00,1943.0,1999-01-01 00:00:00+00:00,1999.0,Yugoslavia,1978.0,Serbia
http://www.wikidata.org/entity/Q52433,Minnie Bruce Pratt,1946-09-12 00:00:00+00:00,1946.0,2023-07-02 00:00:00+00:00,2023.0,United States,1981.0,United States
http://www.wikidata.org/entity/Q53433,Boris Pustyntsev,1935-06-02 00:00:00+00:00,1935.0,2014-03-04 00:00:00+00:00,2014.0,Russia,1970.0,Russia
http://www.wikidata.org/entity/Q53433,Boris Pustyntsev,1935-06-02 00:00:00+00:00,1935.0,2014-03-04 00:00:00+00:00,2014.0,Soviet Union,1970.0,Russia
http://www.wikidata.org/entity/Q55775,Alina Margolis-Edelman,1922-04-18 00:00:00+00:00,1922.0,2008-03-23 00:00:00+00:00,2008.0,Poland,1957.0,Poland
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,1952-03-10 00:00:00+00:00,1952.0,2018-02-14 00:00:00+00:00,2018.0,Zimbabwe,1987.0,Zimbabwe
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,1952-03-10 00:00:00+00:00,1952.0,2018-02-14 00:00:00+00:00,2018.0,Rhodesia,1987.0,Zimbabwe
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,1952-03-10 00:00:00+00:00,1952.0,2018-02-14 00:00:00+00:00,2018.0,Federation of Rhodesia and Nyasaland,1987.0,Zimbabwe
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,1952-03-10 00:00:00+00:00,1952.0,2018-02-14 00:00:00+00:00,2018.0,Southern Rhodesia,1987.0,Zimbabwe
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,1952-03-10 00:00:00+00:00,1952.0,2018-02-14 00:00:00+00:00,2018.0,Zimbabwe Rhodesia,1987.0,Zimbabwe
http://www.wikidata.org/entity/Q58073,Héctor Timerman,1953-12-16 00:00:00+00:00,1953.0,2018-12-30 00:00:00+00:00,2018.0,Argentina,1988.0,Argentina
http://www.wikidata.org/entity/Q60887,Jeremy Bentham,1748-02-15 00:00:00+00:00,1748.0,1832-06-06 00:00:00+00:00,1832.0,France,1783.0,France
http://www.wikidata.org/entity/Q60887,Jeremy Bentham,1748-02-15 00:00:00+00:00,1748.0,1832-06-06 00:00:00+00:00,1832.0,Kingdom of Great Britain,1783.0,United Kingdom
http://www.wikidata.org/entity/Q60887,Jeremy Bentham,1748-02-15 00:00:00+00:00,1748.0,1832-06-06 00:00:00+00:00,1832.0,United Kingdom of Great Britain and Ireland,1783.0,United Kingdom
http://www.wikidata.org/entity/Q62430,Emilie Schindler,1907-10-22 00:00:00+00:00,1907.0,2001-10-05 00:00:00+00:00,2001.0,Austria,1942.0,Austria
http://www.wikidata.org/entity/Q62430,Emilie Schindler,1907-10-22 00:00:00+00:00,1907.0,2001-10-05 00:00:00+00:00,2001.0,Germany,1942.0,Germany
http://www.wikidata.org/entity/Q65911,Harry Schwarz,1924-05-13 00:00:00+00:00,1924.0,2010-02-05 00:00:00+00:00,2010.0,Germany,1959.0,Germany
http://www.wikidata.org/entity/Q65911,Harry Schwarz,1924-05-13 00:00:00+00:00,1924.0,2010-02-05 00:00:00+00:00,2010.0,South Africa,1959.0,South Africa
http://www.wikidata.org/entity/Q66162,Thomas Szasz,1920-04-15 00:00:00+00:00,1920.0,2012-09-08 00:00:00+00:00,2012.0,Hungary,1955.0,Hungary
http://www.wikidata.org/entity/Q66162,Thomas Szasz,1920-04-15 00:00:00+00:00,1920.0,2012-09-08 00:00:00+00:00,2012.0,United States,1955.0,United States
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-21 00:00:00+00:00,2018.0,Poland,1965.0,Poland
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-22 00:00:00+00:00,2018.0,Poland,1965.0,Poland
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-21 00:00:00+00:00,2018.0,Germany,1965.0,Germany
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-22 00:00:00+00:00,2018.0,Germany,1965.0,Germany
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-21 00:00:00+00:00,2018.0,Israel,1965.0,Israel
http://www.wikidata.org/entity/Q68126,Felicia Langer,1930-12-09 00:00:00+00:00,1930.0,2018-06-22 00:00:00+00:00,2018.0,Israel,1965.0,Israel
http://www.wikidata.org/entity/Q80900,Pearl S. Buck,1892-06-26 00:00:00+00:00,1892.0,1973-03-06 00:00:00+00:00,1973.0,United States,1927.0,United States
http://www.wikidata.org/entity/Q83396,Eleanor Roosevelt,1884-10-11 00:00:00+00:00,1884.0,1962-11-07 00:00:00+00:00,1962.0,United States,1919.0,United States
http://www.wikidata.org/entity/Q86264,Gerald Nagler,1929-12-10 00:00:00+00:00,1929.0,2022-07-23 00:00:00+00:00,2022.0,Sweden,1964.0,Sweden
http://www.wikidata.org/entity/Q86264,Gerald Nagler,1929-12-10 00:00:00+00:00,1929.0,2022-07-23 00:00:00+00:00,2022.0,Austria,1964.0,Austria
http://www.wikidata.org/entity/Q91518,Rüdiger Nehberg,1935-05-04 00:00:00+00:00,1935.0,2020-04-01 00:00:00+00:00,2020.0,Germany,1970.0,Germany
http://www.wikidata.org/entity/Q98271,Tilman Zülch,1939-09-02 00:00:00+00:00,1939.0,2023-03-17 00:00:00+00:00,2023.0,Germany,1974.0,Germany
http://www.wikidata.org/entity/Q104656,Helmut Frenz,1933-02-04 00:00:00+00:00,1933.0,2011-09-13 00:00:00+00:00,2011.0,Germany,1968.0,Germany
http://www.wikidata.org/entity/Q104656,Helmut Frenz,1933-02-04 00:00:00+00:00,1933.0,2011-09-13 00:00:00+00:00,2011.0,Chile,1968.0,Chile
http://www.wikidata.org/entity/Q107082,Mary Harris Jones,1830-05-01 00:00:00+00:00,1830.0,1930-11-30 00:00:00+00:00,1930.0,United States,1865.0,United States
