item,itemLabel,instanceLabel,subclassLabel,birthDate,inceptionDate,startTime,pointInTime,publicationDate,mainYear,countryLabel,citizenshipLabel
http://www.wikidata.org/entity/Q1473852,Jack,individual animal,,http://www.wikidata.org/.well-known/genid/19d02a8c88b720c854678bdfa3132664,,,,,,,
http://www.wikidata.org/entity/Q18639495,Samuel Bierfield,human,,http://www.wikidata.org/.well-known/genid/a09e27e1cadb513f6230e633a7fdde8d,,,,,,,
http://www.wikidata.org/entity/Q3557840,Alexandrian pogrom,ethnic riot,,,,,0038-01-01T00:00:00Z,,38,Roman Empire,
http://www.wikidata.org/entity/Q321526,Manusmṛti,verse,,,0200-01-01T00:00:00Z,,,,200,,
http://www.wikidata.org/entity/Q405008,Cyrus cylinder,archaeological artefact,,,0539-01-01T00:00:00Z,,,-0529-01-01T00:00:00Z,539,United Kingdom,
http://www.wikidata.org/entity/Q405008,Cyrus cylinder,inscription,,,0539-01-01T00:00:00Z,,,-0529-01-01T00:00:00Z,539,United Kingdom,
http://www.wikidata.org/entity/Q405008,Cyrus cylinder,archaeological find,,,0539-01-01T00:00:00Z,,,-0529-01-01T00:00:00Z,539,United Kingdom,
http://www.wikidata.org/entity/Q759988,Zanj Rebellion,war,,,,0869-01-01T00:00:00Z,,,869,,
http://www.wikidata.org/entity/Q759988,Zanj Rebellion,rebellion,,,,0869-01-01T00:00:00Z,,,869,,
http://www.wikidata.org/entity/Q759988,Zanj Rebellion,slave rebellion,,,,0869-01-01T00:00:00Z,,,869,,
http://www.wikidata.org/entity/Q7509782,Siege and fall of Córdoba,siege,,,,,1013-01-01T00:00:00Z,,1013,,
http://www.wikidata.org/entity/Q12519,Magna Carta,charter,,,1215-06-22T00:00:00Z,,,,1215,Kingdom of England,
http://www.wikidata.org/entity/Q705176,"John, Count of Angoulême",human,,1399-07-04T00:00:00Z,,,,,1399,,France
http://www.wikidata.org/entity/Q164055,Tiananmen Square,square,,,1417-01-01T00:00:00Z,,,,1417,People's Republic of China,
http://www.wikidata.org/entity/Q207416,Bartolomé de Las Casas,human,,1484-11-20T00:00:00Z,,,,,1484,,Spain
http://www.wikidata.org/entity/Q2292671,slavery in Cuba,aspect in a geographic region,slavery,,,1511-01-01T00:00:00Z,,,1511,Cuba,
http://www.wikidata.org/entity/Q245173,Twelve Articles,manifesto,,,1525-01-01T00:00:00Z,,,1525-03-29T00:00:00Z,1525,,
http://www.wikidata.org/entity/Q245173,Twelve Articles,dodecad,,,1525-01-01T00:00:00Z,,,1525-03-29T00:00:00Z,1525,,
http://www.wikidata.org/entity/Q1848208,Sublimis Deus,papal bull,,,,,,1537-06-12T00:00:00Z,1537,,
http://www.wikidata.org/entity/Q2924760,A Short Account of the Destruction of the Indies,written work,,,,,,1552-01-01T00:00:00Z,1552,,
http://www.wikidata.org/entity/Q154959,Hugo Grotius,human,,1583-04-10T00:00:00Z,,,,,1583,,Dutch Republic
http://www.wikidata.org/entity/Q37621,Thomas Hobbes,human,,1588-04-05T00:00:00Z,,,,,1588,,Kingdom of England
http://www.wikidata.org/entity/Q9353,John Locke,human,,1632-09-08T00:00:00Z,,,,,1632,,Kingdom of England
http://www.wikidata.org/entity/Q6253543,John Punch,human,,1640-01-01T00:00:00Z,,,,,1640,,
http://www.wikidata.org/entity/Q642635,Areopagitica,literary work,,,,,,1644-01-01T00:00:00Z,1644,,
http://www.wikidata.org/entity/Q7718708,The Bloudy Tenent of Persecution for Cause of Conscience,literary work,,,,,,1644-01-01T00:00:00Z,1644,,
http://www.wikidata.org/entity/Q3118988,Carib Expulsion,war,,,,1658-01-01T00:00:00Z,,,1658,,
http://www.wikidata.org/entity/Q3118988,Carib Expulsion,forced displacement,,,,1658-01-01T00:00:00Z,,,1658,,
http://www.wikidata.org/entity/Q769519,Royal African Company,chartered company,,,1660-01-01T00:00:00Z,,,,1660,Kingdom of England,
http://www.wikidata.org/entity/Q769519,Royal African Company,business,,,1660-01-01T00:00:00Z,,,,1660,Kingdom of England,
http://www.wikidata.org/entity/Q769519,Royal African Company,slave trader,,,1660-01-01T00:00:00Z,,,,1660,Kingdom of England,
http://www.wikidata.org/entity/Q349497,Benjamin Lay,human,,1682-01-26T00:00:00Z,,,,,1682,,Kingdom of Great Britain
http://www.wikidata.org/entity/Q219447,Bill of Rights 1689,bill of rights,,,,,1689-01-01T00:00:00Z,1689-01-01T00:00:00Z,1689,United Kingdom,
http://www.wikidata.org/entity/Q219447,Bill of Rights 1689,Act of the Parliament of England,,,,,1689-01-01T00:00:00Z,1689-01-01T00:00:00Z,1689,United Kingdom,
http://www.wikidata.org/entity/Q3471224,"Samuel Sandys, 1st Baron Sandys",human,,1695-08-10T00:00:00Z,,,,,1695,,Kingdom of Great Britain
http://www.wikidata.org/entity/Q21070981,Raudot Ordinance of 1709,ordinance,,,,,1709-01-01T00:00:00Z,,1709,,
http://www.wikidata.org/entity/Q6527,Jean-Jacques Rousseau,human,,1712-06-28T00:00:00Z,,,,,1712,,Republic of Geneva
http://www.wikidata.org/entity/Q572877,Anthony Benezet,human,,1713-01-31T00:00:00Z,,,,,1713,,United States
http://www.wikidata.org/entity/Q14324051,Anna Margareta Salmelin,human,,1716-01-01T00:00:00Z,,,,,1716,,Finland
http://www.wikidata.org/entity/Q7176335,Peter Peckard,human,,1718-01-01T00:00:00Z,,,,,1718,,
http://www.wikidata.org/entity/Q532329,George Mason,human,,1725-12-11T00:00:00Z,,,,,1725,,United States
http://www.wikidata.org/entity/Q319331,Josiah Wedgwood,human,,1730-07-12T00:00:00Z,,,,,1730,,Kingdom of Great Britain
http://www.wikidata.org/entity/Q315537,William Cowper,human,,1731-11-26T00:00:00Z,,,,,1731,,Kingdom of Great Britain
http://www.wikidata.org/entity/Q18711650,Samba Rebellion,slave rebellion,,,,,1731-01-01T00:00:00Z,,1731,United States,
http://www.wikidata.org/entity/Q1150578,1740 Batavia massacre,mass murder,,,,1740-10-09T00:00:00Z,1740-01-01T00:00:00Z,,1740,Dutch East Indies,
http://www.wikidata.org/entity/Q42654600,Fenda Lawrence,human,,1742-01-01T00:00:00Z,,,,,1742,,The Gambia
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,human,,1743-04-13T00:00:00Z,,,,,1743,,United States
http://www.wikidata.org/entity/Q11813,James Madison,human,,1751-03-16T00:00:00Z,,,,,1751,,United States
http://www.wikidata.org/entity/Q12444025,Indian independence movement,independentism,,,,1757-01-01T00:00:00Z,,,1757,India,
http://www.wikidata.org/entity/Q5538872,George Edward Doney,human,,1758-01-01T00:00:00Z,,,,,1758,,
http://www.wikidata.org/entity/Q207672,William Wilberforce,human,,1759-08-24T00:00:00Z,,,,,1759,,Kingdom of Great Britain
http://www.wikidata.org/entity/Q207672,William Wilberforce,human,,1759-08-24T00:00:00Z,,,,,1759,,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q19059591,James Drummond MacGregor,human,,1759-01-01T00:00:00Z,,,,,1759,,Canada
http://www.wikidata.org/entity/Q19059591,James Drummond MacGregor,human,,1759-12-01T00:00:00Z,,,,,1759,,Canada
http://www.wikidata.org/entity/Q2032151,Thomas Clarkson,human,,1760-03-28T00:00:00Z,,,,,1760,,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q3374773,Pennsylvania Abolition Society,society,,,1775-01-01T00:00:00Z,,,,1775,United States,
http://www.wikidata.org/entity/Q3374773,Pennsylvania Abolition Society,organization,,,1775-01-01T00:00:00Z,,,,1775,United States,
http://www.wikidata.org/entity/Q127912,United States Declaration of Independence,declaration of independence,,,,,1776-07-04T00:00:00Z,1776-07-04T00:00:00Z,1776,United States,
http://www.wikidata.org/entity/Q118382,slavery in the United States,historical event,slavery,,1776-07-04T00:00:00Z,,,,1776,United States,
http://www.wikidata.org/entity/Q118382,slavery in the United States,historical event,African slave trade,,1776-07-04T00:00:00Z,,,,1776,United States,
http://www.wikidata.org/entity/Q22341556,Hetty Reckless,human,,1776-01-01T00:00:00Z,,,,,1776,,United States
http://www.wikidata.org/entity/Q211582,Zong massacre,massacre,,,,,1781-11-29T00:00:00Z,,1781,Kingdom of Great Britain,
http://www.wikidata.org/entity/Q16739929,Hans Jonatan,human,,1784-01-01T00:00:00Z,,,,,1784,,Danish West Indies
http://www.wikidata.org/entity/Q1569816,Swedish slave trade,African slave trade,,,,1784-01-01T00:00:00Z,,,1784,Sweden,
http://www.wikidata.org/entity/Q2255363,Swedish West India Company,colonial society,,,1786-01-01T00:00:00Z,,,,1786,Sweden,
http://www.wikidata.org/entity/Q52295193,Thomas Sturge,human,,1787-01-01T00:00:00Z,,,,,1787,,
http://www.wikidata.org/entity/Q2157093,Society for Effecting the Abolition of the Slave Trade,organization,,,1787-05-22T00:00:00Z,,,,1787,Kingdom of Great Britain,
http://www.wikidata.org/entity/Q23758930,Catharine R. Williams,human,,1787-12-31T00:00:00Z,,,,,1787,,United States
http://www.wikidata.org/entity/Q949107,Society of the Friends of the Blacks,nonprofit organization,,,1788-02-19T00:00:00Z,,,,1788,France,
http://www.wikidata.org/entity/Q862765,United States Bill of Rights,bill of rights,amendment to the United States Constitution,,1789-09-25T00:00:00Z,,,,1789,,
http://www.wikidata.org/entity/Q862765,United States Bill of Rights,constitutional document,amendment to the United States Constitution,,1789-09-25T00:00:00Z,,,,1789,,
http://www.wikidata.org/entity/Q862765,United States Bill of Rights,statute,amendment to the United States Constitution,,1789-09-25T00:00:00Z,,,,1789,,
http://www.wikidata.org/entity/Q169759,Declaration of the Rights of Man and of the Citizen,document,,,1790-01-01T00:00:00Z,,,1789-08-26T00:00:00Z,1790,Kingdom of France,
http://www.wikidata.org/entity/Q169759,Declaration of the Rights of Man and of the Citizen,declaration,,,1790-01-01T00:00:00Z,,,1789-08-26T00:00:00Z,1790,Kingdom of France,
http://www.wikidata.org/entity/Q210645,Second Amendment to the United States Constitution,constitutional amendment,,,,,,1791-12-15T00:00:00Z,1791,United States,
http://www.wikidata.org/entity/Q2981598,French Penal Code of 1791,criminal code,,,,,1791-01-01T00:00:00Z,1791-01-01T00:00:00Z,1791,France,
http://www.wikidata.org/entity/Q300646,A Vindication of the Rights of Woman,written work,,,,,,1792-01-01T00:00:00Z,1792,,
http://www.wikidata.org/entity/Q4796627,Arsénio Pompílio Pompeu de Carpo,human,,1792-01-01T00:00:00Z,,,,,1792,,Kingdom of Portugal
http://www.wikidata.org/entity/Q7792020,Thomas M'Clintock,human,,1792-03-28T00:00:00Z,,,,,1792,,United States
http://www.wikidata.org/entity/Q1353767,Thaddeus Stevens,human,,1792-04-04T00:00:00Z,,,,,1792,,United States
http://www.wikidata.org/entity/Q59343154,Thomas F. Mulledy,human,,1794-08-12T00:00:00Z,,,,,1794,,United States
http://www.wikidata.org/entity/Q7159479,Pedro Blanco,human,,1795-01-01T00:00:00Z,,,,,1795,,Spain
http://www.wikidata.org/entity/Q6686880,Louis Celeste Lecesne,human,,1796-01-01T00:00:00Z,,,,,1796,,
http://www.wikidata.org/entity/Q16065702,Sheldon Peck,human,,1797-08-26T00:00:00Z,,,,,1797,,United States
http://www.wikidata.org/entity/Q61040403,William McSherry,human,,1799-07-19T00:00:00Z,,,,,1799,,United States
http://www.wikidata.org/entity/Q189366,John Brown,human,,1800-05-09T00:00:00Z,,,,,1800,,United States
http://www.wikidata.org/entity/Q22018959,Mary Meachum,human,,1801-01-01T00:00:00Z,,,,,1801,,United States
http://www.wikidata.org/entity/Q7609375,Stephen H. Gloucester,human,,1802-01-01T00:00:00Z,,,,,1802,,United States
http://www.wikidata.org/entity/Q50020,John Stuart Mill,human,,1806-05-20T00:00:00Z,,,,,1806,,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q6537184,Lewis Woodson,human,,1806-01-01T00:00:00Z,,,,,1806,,United States
http://www.wikidata.org/entity/Q7422565,Sarah Mapps Douglass,human,,1806-09-09T00:00:00Z,,,,,1806,,United States
http://www.wikidata.org/entity/Q11722350,Susan Paul,human,,1809-01-01T00:00:00Z,,,,,1809,,United States
http://www.wikidata.org/entity/Q61314662,Amy Matilda Cassey,human,,1809-08-14T00:00:00Z,,,,,1809,,United States
http://www.wikidata.org/entity/Q19894285,Harriet Forten Purvis,human,,1810-01-01T00:00:00Z,,,,,1810,,United States
http://www.wikidata.org/entity/Q5784367,Aponte Conspiracy,slave rebellion,,,,1812-01-01T00:00:00Z,,,1812,,
http://www.wikidata.org/entity/Q4767364,Anna Murray-Douglass,human,,1813-03-08T00:00:00Z,,,,,1813,,United States
http://www.wikidata.org/entity/Q35131021,Joshua Bowen Smith,human,,1813-01-01T00:00:00Z,,,,,1813,,United States
http://www.wikidata.org/entity/Q6139252,James McCune Smith,human,,1813-04-18T00:00:00Z,,,,,1813,,United States
http://www.wikidata.org/entity/Q6536421,Lewis Charlton,human,,1814-01-01T00:00:00Z,,,,,1814,,United States
http://www.wikidata.org/entity/Q465335,Elizabeth Cady Stanton,human,,1815-11-12T00:00:00Z,,,,,1815,,United States
http://www.wikidata.org/entity/Q1230434,Thaddeus Hyatt,human,,1816-07-21T00:00:00Z,,,,,1816,,United States
http://www.wikidata.org/entity/Q26243162,Robert James Harlan,human,,1816-12-12T00:00:00Z,,,,,1816,,United States
http://www.wikidata.org/entity/Q5078949,Charles Henry Langston,human,,1817-01-01T00:00:00Z,,,,,1817,,United States
http://www.wikidata.org/entity/Q9061,Karl Marx,human,,1818-05-05T00:00:00Z,,,,,1818,,Kingdom of Prussia
http://www.wikidata.org/entity/Q9061,Karl Marx,human,,1818-05-05T00:00:00Z,,,,,1818,,statelessness
http://www.wikidata.org/entity/Q215562,Frederick Douglass,human,,1818-02-14T00:00:00Z,,,,,1818,,United States
http://www.wikidata.org/entity/Q452281,Lucy Stone,human,,1818-08-13T00:00:00Z,,,,,1818,,United States
http://www.wikidata.org/entity/Q28941984,Anglo-Dutch Slave Trade Treaty,treaty,,,,,1818-05-04T00:00:00Z,,1818,,
http://www.wikidata.org/entity/Q17985825,Turner W. Bell,human,,1818-01-01T00:00:00Z,,,,,1818,,United States
